"Id ucznia";"ID wycieczki"
1002;6
1004;5
1005;6
1006;7
1007;4
1010;8
1011;7
1012;5
1014;8
1015;4
1016;4
1017;3
1018;1
1020;7
1021;3
1022;5
1023;5
1024;5
1025;2
1026;6
1027;6
1028;5
1029;7
1031;5
1033;4
1036;5
1039;4
1040;6
1041;3
1042;6
1043;7
1044;1
1045;6
1046;6
1047;7
1048;7
1049;6
1051;7
1052;6
1055;5
1057;3
1058;4
1059;8
1060;5
1063;6
1064;3
1066;1
1067;6
1068;6
1070;1
1071;1
1072;2
1074;8
1075;8
1077;1
1080;2
1082;2
1083;1
1088;5
1089;5
1091;2
1092;2
1094;3
1095;6
1096;5
1098;5
1099;7
1100;4
1101;5
1102;6
1103;7
1104;4
1105;2
1106;4
1107;7
1110;7
1111;8
1112;7
1113;3
1114;7
1115;5
1116;5
1117;3
1119;3
1120;8
1122;5
1123;2
1124;8
1125;2
1126;5
1127;5
1128;7
1129;6
1131;6
1133;7
1134;8
1135;1
1136;2
1137;6
1138;4
1139;2
1140;5
1141;8
1142;1
1143;3
1145;5
1146;2
1147;5
1148;8
1150;8
1151;7
1152;8
1153;6
1155;6
1156;1
1157;7
1158;6
1159;8
1160;2
1164;3
1166;2
1168;4
1169;8
1170;2
1172;6
1173;5
1174;6
1176;6
1178;4
1179;3
1181;8
1182;1
1184;2
1185;7
1187;3
1188;1
1189;6
1190;1
1192;7
1193;7
1195;8
1197;6
1198;6
1200;1
1201;2
1202;7
1203;8
1204;2
1205;5
1206;1
1207;6
1208;2
1210;4
1211;7
1212;3
1213;8
1215;1
1216;7
1217;4
1221;4
1223;4
1224;4
1225;7
1226;5
1227;2
1228;8
1229;2
1232;4
1233;3
1234;1
1235;8
1236;3
1237;7
1238;2
1239;1
1240;7
1241;1
1242;7
1245;4
1246;7
1247;1
1248;6
1249;4
1250;8
1252;7
1253;6
1254;1
1256;4
1257;4
1258;6
1259;2
1260;1
1263;2
1264;2
1265;1
1266;6
1267;8
1269;5
1270;3
1272;1
1274;8
1275;6
1276;3
1277;6
1278;4
1280;6
1282;6
1283;8
1284;8
1285;5
1286;8
1287;2
1288;3
1289;1
1290;5
1291;7
1292;8
1295;1
1297;1
1299;6
1300;8
1301;6
1302;4
1305;4
1306;4
1307;5
1308;1
1309;1
1310;8
