wynagrodzenie; staż_pracy; premia_w_%; Etat;oddział
1445,5;3;27;4;OII
2690;1;5;2;OI
3300;19;30;1;OII
3900;1;10;1;OI
3560;17;29;1;OV
586;10;1;7;OI
520;9;40;9;OIII
3980;3;25;1;OVI
409,5;0;30;9;OI
1475;5;15;4;OVII
906;14;5;5;OV
2825;12;15;2;OVII
5810;2;5;1;OIII
889,7;3;45;7;OV
5410;7;50;1;OII
533;6;5;8;OV
502;1;35;6;OI
628;15;15;8;OV
5640;12;40;1;OI
4470;3;40;1;OIV
7000;3;40;1;OVI
1020;15;10;5;OIV
534,5;15;35;8;OV
2113;4;20;3;OII
623;5;5;7;OIV
530;8;5;9;OIII
406;15;45;9;OIV
1047;12;30;6;OV
4450;8;15;1;OIII
3690;16;5;1;OI
688;19;20;9;OVI
6870;20;5;1;OVII
5550;8;40;1;OIII
423;12;25;7;OIII
4160;6;15;1;OV
1090;16;15;3;OV
6460;4;40;1;OII
332;12;40;9;OVI
1950;5;45;3;OIII
3880;6;40;1;OVII
1063;4;30;6;OVII
3660;12;10;1;OVII
2165;11;15;2;OII
2000;19;0;2;OV
3550;8;10;1;OVII
5530;7;35;1;OIII
1168;5;0;5;OII
740;0;40;4;OV
651;7;20;10;OII
1055;19;45;4;OVII
900;6;20;4;OII
2177;6;25;3;OIV
450;20;30;10;OI
689;7;10;9;OIII
478;9;10;8;OI
788;9;10;5;OI
500;7;25;9;OV
1347;20;45;3;OI
4460;18;35;1;OIII
796,5;9;7;7;OII
4210;19;20;1;OII
460;11;40;7;OVII
1548;17;50;4;OV
870;18;40;6;OVI
2950;5;50;1;OII
6490;9;25;1;OIV
4480;4;40;1;OII
6590;19;5;1;OVII
3380;15;50;1;OIV
1085;6;35;6;OII
546;19;45;9;OVII
5900;14;45;1;OVII
5000;14;40;1;OV
6980;20;15;1;OI
1120;7;0;6;OIII
410;7;30;10;OVII
1098;0;15;5;OII
696;4;40;10;OIV
860;5;15;6;OVI
6400;3;5;1;OII
4590;18;5;1;OII
505;1;50;6;OVI
4620;0;45;1;OVI
3810;20;30;1;OVII
1588;3;10;4;OIV
5730;12;50;1;OIV
909;11;45;7;OI
968;10;5;6;OII
691;17;5;10;OI
555;18;5;8;OVI
4350;2;5;1;OV
930;2;15;5;OI
1907;11;45;3;OVII
393;2;20;9;OIII
5760;14;20;1;OIII
1807;11;15;3;OVI
1107;15;10;3;OIII
370;15;10;9;OV
3275;10;45;2;OIV
5960;15;35;1;OII
4650;5;35;1;OVII
435;7;35;10;OV
736;19;15;7;OI
4230;20;35;1;OIII
1303;12;15;4;OIV
