Jedzenie;Drewno;Zloto
40;28;10
74;14;1
11;26;8
74;29;3
39;15;3
36;26;5
12;21;4
19;13;7
90;10;4
46;26;4
90;7;3
44;19;10
98;27;1
93;22;3
22;11;1
30;7;4
93;19;9
32;11;7
67;11;9
12;23;7
82;23;7
23;7;5
27;22;2
38;6;10
74;7;2
31;14;2
73;11;5
42;21;5
57;27;10
17;20;6
30;8;4
76;15;9
57;9;1
57;16;8
55;22;4
56;30;3
78;27;8
99;5;8
73;25;6
14;25;7
18;24;2
32;18;3
73;14;2
71;17;10
97;28;1
77;19;7
22;8;7
65;22;1
20;11;10
36;25;6
89;29;1
84;19;7
93;17;1
78;19;7
14;20;1
97;8;3
51;9;5
54;12;2
60;6;4
10;23;4
17;26;4
52;10;5
47;28;7
14;23;4
94;16;3
67;11;5
61;20;3
72;7;4
88;25;9
29;29;7
52;30;2
55;8;10
98;21;10
55;28;8
83;28;2
59;26;1
68;24;9
33;21;7
58;6;4
73;8;5
83;28;6
48;28;4
96;5;9
64;15;6
12;27;5
89;8;4
49;25;10
57;14;10
10;22;9
22;16;6
20;21;8
85;28;3
71;13;5
67;10;1
39;27;10
29;28;2
68;30;6
57;14;1
62;19;6
16;14;10
51;25;6
61;21;4
25;9;6
23;29;10
87;18;6
65;18;1
90;20;7
100;11;2
28;22;3
50;22;4
87;19;9
16;16;10
48;8;5
32;22;1
18;12;3
51;11;1
78;28;3
53;29;4
79;13;9
17;13;3
85;18;4
95;12;9
44;29;8
88;25;2
59;17;9
47;15;1
40;26;5
48;18;1
17;20;9
70;12;6
23;19;9
51;22;1
39;21;2
95;7;6
42;25;9
31;16;5
85;28;9
27;24;1
23;25;9
46;7;1
29;6;2
39;30;3
18;20;5
77;20;1
21;26;6
15;10;4
12;18;6
98;8;1
35;22;5
72;29;10
98;20;3
42;7;6
30;21;1
42;29;7
35;14;9
54;23;4
28;9;8
22;13;4
26;25;5
76;15;4
55;16;3
55;9;1
16;23;2
41;15;6
82;10;2
48;19;2
100;29;9
46;20;2
67;19;4
64;21;9
46;28;8
57;14;8
56;11;9
77;22;10
36;27;4
20;27;1
21;25;9
77;25;8
77;22;6
36;29;9
87;13;4
39;23;10
96;12;3
36;28;7
81;9;7
65;25;7
68;19;7
31;10;10
78;12;6
95;14;9
72;18;9
27;23;9
38;18;3
58;16;1
78;9;3
97;6;10
59;24;8
80;30;6
18;6;3
62;13;4
100;18;5
88;22;10
86;13;8
64;29;3
83;14;9
43;17;5
22;6;7
52;22;1
90;11;10
55;11;4
78;18;8
20;7;1
29;20;6
91;30;7
10;6;6
58;7;4
81;16;6
49;11;3
91;18;8
24;11;1
15;5;6
86;27;4
31;18;9
70;27;3
48;18;4
28;17;5
75;27;5
56;19;2
22;16;1
78;17;9
14;19;9
49;15;3
46;28;10
57;13;4
27;10;8
57;5;8
21;5;5
15;11;1
12;6;2
84;26;6
73;21;2
94;10;5
21;29;4
31;18;5
41;17;2
41;18;6
12;17;9
59;23;10
43;9;9
22;16;6
29;13;4
80;25;10
82;28;2
86;29;8
66;27;10
20;19;8
58;29;9
22;5;1
35;20;9
36;11;1
11;20;4
27;25;9
91;18;8
54;21;4
94;26;2
27;12;2
49;23;6
97;12;6
72;27;3
63;5;7
41;24;1
94;30;7
58;19;1
41;29;8
46;9;9
42;28;3
98;19;4
84;16;1
63;8;1
100;11;1
31;22;4
70;10;7
84;29;10
37;15;4
26;15;2
73;26;2
81;16;10
85;10;4
63;12;10
86;30;5
58;16;7
55;21;3
34;30;1
67;20;1
30;16;10
11;10;1
74;9;6
51;29;10
25;17;9
43;7;5
95;25;8
89;17;7
69;8;10
78;8;6
69;26;3
76;18;8
87;11;6
98;22;5
91;14;5
12;17;4
58;18;8
39;17;7
12;15;9
63;11;4
12;22;8
58;6;1
39;14;4
33;11;7
26;12;1
55;16;9
20;23;8
99;19;8
84;15;9
81;19;3
16;7;3
71;7;4
56;10;4
13;29;10
65;9;7
93;21;8
93;20;9
86;12;2
91;17;5
38;10;6
81;15;8
18;30;4
67;20;1
35;15;9
69;16;1
46;22;1
86;26;9
62;11;3
74;18;3
59;13;8
51;23;7
54;11;2
96;30;2
35;14;2
96;14;5
29;17;9
99;7;1
78;17;2
63;7;5
37;15;8
68;22;9
51;7;2
49;7;7
38;23;3
82;11;3
10;22;3
21;26;8
95;7;5
15;26;9
17;7;8
73;27;8
47;25;4
11;15;3
16;6;5
87;29;1
29;20;2
64;10;6
64;10;7
30;11;10
71;16;1
40;25;3
67;27;2
96;24;3
64;19;6
71;11;6
16;29;3
76;17;7
56;17;4
38;25;7
69;26;8
96;5;1
99;27;9
16;7;6
91;14;6
80;20;6
65;7;7
37;16;5
94;25;2
91;21;10
100;16;2
41;26;6
18;16;2
50;22;6
76;10;6
46;27;3
59;11;5
41;7;8
62;28;4
95;16;8
90;23;7
20;21;7
28;22;4
66;25;2
37;26;8
31;23;10
42;13;9
89;20;2
11;28;9
57;14;5
60;8;3
14;11;8
15;10;4
10;27;6
25;28;5
92;27;2
76;10;8
90;23;2
43;21;5
70;8;9
40;12;5
87;29;3
59;24;5
38;20;2
53;20;1
19;20;8
37;15;1
95;13;9
26;16;6
57;5;3
82;11;6
51;23;4
85;10;6
16;11;2
64;23;3
92;10;5
16;22;5
24;22;5
74;26;8
100;18;2
12;21;4
53;29;7
58;12;7
87;18;8
38;25;8
69;28;8
26;12;6
66;6;8
57;7;6
87;5;6
22;19;1
59;21;6
19;27;5
42;11;1
79;6;5
46;16;4
77;16;2
32;6;2
94;14;10
92;23;7
50;18;10
61;23;6
42;30;1
68;15;1
55;16;4
10;14;1
82;26;2
79;22;9
58;20;8
39;26;2
49;11;6
98;30;10
93;29;9
82;20;10
50;7;1
19;7;7
25;30;4
43;22;9
88;21;9
82;12;8
37;27;9
18;12;4
33;11;8
77;14;9
45;9;10
22;14;2
30;24;5
16;25;4
46;15;3
74;23;6
79;13;1
11;24;1
88;24;5
68;20;2
45;16;10
28;21;8
71;27;10
46;14;9
16;25;6
58;19;9
69;13;3
37;29;6
58;17;10
12;30;4
86;25;4
73;12;5
19;8;3
71;23;7
50;18;10
53;14;7
39;13;10
62;16;2
76;24;3
63;8;4
93;17;6
41;27;6
35;16;10
66;13;7
17;15;5
89;18;1
82;11;9
88;8;5
57;13;7
64;6;7
61;19;9
69;23;7
24;5;9
99;24;9
48;22;3
33;13;7
62;16;7
45;13;2
68;11;10
43;8;9
27;9;4
67;8;10
37;15;2
72;6;3
32;12;9
35;5;4
25;17;10
42;20;5
29;9;4
50;12;1
12;5;2
45;27;1
39;10;8
94;19;5
81;5;3
70;29;9
72;23;6
79;8;9
59;7;8
36;29;2
99;22;5
66;7;1
19;6;5
90;27;3
16;15;4
61;28;3
69;14;10
42;9;7
25;15;5
91;21;7
53;6;1
100;24;7
99;23;4
91;29;9
46;28;7
94;26;7
46;25;8
37;23;7
41;20;9
81;29;7
85;7;4
45;25;9
82;9;7
96;7;9
99;27;7
69;30;9
71;28;6
38;26;6
32;19;3
76;6;4
91;15;6
74;6;5
33;10;3
68;6;9
20;29;8
49;9;6
40;21;7
26;8;6
45;23;5
59;11;7
30;6;5
64;22;4
47;27;9
